author,url,doi,issn,year,pages,journal,title,ENTRYTYPE,ID,
Sonia Medina and Jorge A. Pereira and Pedro Silva and Rosa Perestrelo and José S. Câmara,https://www.sciencedirect.com/science/article/pii/S0308814618319848,https://doi.org/10.1016/j.foodchem.2018.11.046,0308-8146,2019,144-162,Food Chemistry,Food fingerprints – A valuable tool to monitor food authenticity and safety,article,MEDINA2019144,
René Emanuel Lobo and Theo Figueroa and Diego Navarro and María Inés Gómez and Graciela {Font de Valdez} and María Inés Torino,https://www.sciencedirect.com/science/article/pii/S0308814621006336,https://doi.org/10.1016/j.foodchem.2021.129627,0308-8146,2021,129627,Food Chemistry,Techno-functional properties of HoPS from lactic acid bacteria of different origins as potential food additives,article,LOBO2021129627,
Yongzhao Xu and William {Kwame Amakye} and Ganhong Xiao and Xuebo Liu and Jiaoyan Ren and Min Wang,https://www.sciencedirect.com/science/article/pii/S0308814622020210,https://doi.org/10.1016/j.foodchem.2022.134059,0308-8146,2022,134059,Food Chemistry,Intestinal absorptivity-increasing effects of sodium N-[8-(2-Hydroxybenzoyl)amino]-caprylate on food-derived bioactive peptide,article,XU2022134059,
Mohammed Hefni and Veronica Öhrvik and Mohamed Tabekha and Cornelia Witthöft,https://www.sciencedirect.com/science/article/pii/S0308814609014642,https://doi.org/10.1016/j.foodchem.2009.12.044,0308-8146,2010,540-545,Food Chemistry,Folate content in foods commonly consumed in Egypt,article,HEFNI2010540,
Inyoung Choi and Da Som Yoo and Yoonjee Chang and So Yeon Kim and Jaejoon Han,https://www.sciencedirect.com/science/article/pii/S0308814620327588,https://doi.org/10.1016/j.foodchem.2020.128883,0308-8146,2021,128883,Food Chemistry,Polycaprolactone film functionalized with bacteriophage T4 promotes antibacterial activity of food packaging toward Escherichia coli,article,CHOI2021128883,
Xu Li and Gangcheng Wu and Yuqi Wu and Emad Karrar and Jianhua Huang and Qingzhe Jin and Hui Zhang and Xingguo Wang,https://www.sciencedirect.com/science/article/pii/S0308814619321879,https://doi.org/10.1016/j.foodchem.2019.126041,0308-8146,2020,126041,Food Chemistry,Effectiveness of the rapid test of polar compounds in frying oils as a function of environmental and compositional variables under restaurant conditions,article,LI2020126041,
Thangavelu Kokulnathan and Ramakrishnan Vishnuraj and Shen-Ming Chen and Biji Pullithadathil and Faheem Ahmed and P.M.Z. Hasan and Anwar L. Bilgrami and Shalendra Kumar,https://www.sciencedirect.com/science/article/pii/S0308814622000139,https://doi.org/10.1016/j.foodchem.2022.132052,0308-8146,2022,132052,Food Chemistry,Tailored construction of one-dimensional TiO2/Au nanofibers: Validation of an analytical assay for detection of diphenylamine in food samples,article,KOKULNATHAN2022132052,
Li Wang and Xingyi Huang and Chengquan Wang and Xiaoyu Tian and Xianhui Chang and Yi Ren and Shanshan Yu,https://www.sciencedirect.com/science/article/pii/S0308814620322056,https://doi.org/10.1016/j.foodchem.2020.128343,0308-8146,2021,128343,Food Chemistry,Applications of surface functionalized Fe3O4 NPs-based detection methods in food safety,article,WANG2021128343,
Patricia Galan-Malo and Silvia Pellicer and María D. Pérez and Lourdes Sánchez and Pedro Razquin and Luis Mata,https://www.sciencedirect.com/science/article/pii/S0308814619306892,https://doi.org/10.1016/j.foodchem.2019.04.039,0308-8146,2019,41-48,Food Chemistry,Development of a novel duplex lateral flow test for simultaneous detection of casein and β-lactoglobulin in food,article,GALANMALO201941,
Lu Zeng and Lingling Guo and Zhongxing Wang and Xinxin Xu and Shanshan Song and Liguang Xu and Hua Kuang and Aike Li and Chuanlai Xu,https://www.sciencedirect.com/science/article/pii/S0308814621001163,https://doi.org/10.1016/j.foodchem.2021.129114,0308-8146,2021,129114,Food Chemistry,Immunoassays for the rapid detection of pantothenic acid in pharmaceutical and food products,article,ZENG2021129114,
Quang-Hung Nguyen and Thierry Talou and Philippe Evon and Muriel Cerny and Othmane Merah,https://www.sciencedirect.com/science/article/pii/S0308814620308967,https://doi.org/10.1016/j.foodchem.2020.127034,0308-8146,2020,127034,Food Chemistry,Fatty acid composition and oil content during coriander fruit development,article,NGUYEN2020127034,
Wei Jia and Min Zhang and Jiying Zhu and Lin Shi,https://www.sciencedirect.com/science/article/pii/S0308814622010019,https://doi.org/10.1016/j.foodchem.2022.133039,0308-8146,2022,133039,Food Chemistry,Strategies for studying in vivo biochemical formation pathways and multilevel distributions of sulfanilamide metabolites in food (2012–2022),article,JIA2022133039,
Nazila Ghareaghajlou and Somayeh Hallaj-Nezhadi and Zahra Ghasempour,https://www.sciencedirect.com/science/article/pii/S0308814621014886,https://doi.org/10.1016/j.foodchem.2021.130482,0308-8146,2021,130482,Food Chemistry,"Red cabbage anthocyanins: Stability, extraction, biological activities and applications in food systems",article,GHAREAGHAJLOU2021130482,
D.A.T. Southgate,https://www.sciencedirect.com/science/article/pii/030881469290215N,https://doi.org/10.1016/0308-8146(92)90215-N,0308-8146,1992,289-293,Food Chemistry,Trace elements: databases and food composition compilations,article,SOUTHGATE1992289,
Petra Ložnjak and Lisa Striegel and Rocío I. {Díaz De la Garza} and Michael Rychlik and Jette Jakobsen,https://www.sciencedirect.com/science/article/pii/S0308814619315651,https://doi.org/10.1016/j.foodchem.2019.125450,0308-8146,2020,125450,Food Chemistry,Quantification of folate in food using deconjugase of plant origin combined with LC-MS/MS: A method comparison of a large and diverse sample set,article,LOZNJAK2020125450,
Pierre Degot and Verena Huber and Didier Touraud and Werner Kunz,https://www.sciencedirect.com/science/article/pii/S0308814620320021,https://doi.org/10.1016/j.foodchem.2020.128140,0308-8146,2021,128140,Food Chemistry,"Curcumin extracts from Curcuma Longa – Improvement of concentration, purity, and stability in food-approved and water-soluble surfactant-free microemulsions",article,DEGOT2021128140,
Jean Paul Kamdem and Antonia Eliene Duarte and Kátia Regina Rodrigues Lima and João Batista Teixeira Rocha and Waseem Hassan and Luiz Marivando Barros and Thomas Roeder and Apollinaire Tsopmo,https://www.sciencedirect.com/science/article/pii/S0308814619308167,https://doi.org/10.1016/j.foodchem.2019.05.021,0308-8146,2019,448-457,Food Chemistry,Research trends in food chemistry: A bibliometric review of its 40 years anniversary (1976–2016),article,KAMDEM2019448,
Sara Panseri and Francesco Arioli and Cristina Biolatti and Giacomo Mosconi and Radmila Pavlovic and Luca Maria Chiesa,https://www.sciencedirect.com/science/article/pii/S0308814620312590,https://doi.org/10.1016/j.foodchem.2020.127397,0308-8146,2020,127397,Food Chemistry,Detection of polyphosphates in seafood and its relevance toward food safety,article,PANSERI2020127397,
Jean Lucas {de Oliveira Arias} and Caroline Borges Rocha and Ana Luisa Queiroz Silva Santos and Liziane Cardoso Marube and Larine Kupski and Sergiane Souza Caldas and Ednei Gilberto Primel,https://www.sciencedirect.com/science/article/pii/S0308814619307599,https://doi.org/10.1016/j.foodchem.2019.04.094,0308-8146,2019,112-119,Food Chemistry,"Fast and simple method of simultaneous preservative determination in different processed foods by QuEChERS and HPLC-UV: Method development, survey and estimate of daily intake",article,DEOLIVEIRAARIAS2019112,
Won Young Oh and Priyatharini Ambigaipalan and Fereidoon Shahidi,https://www.sciencedirect.com/science/article/pii/S030881462101400X,https://doi.org/10.1016/j.foodchem.2021.130394,0308-8146,2021,130394,Food Chemistry,"Quercetin and its ester derivatives inhibit oxidation of food, LDL and DNA",article,OH2021130394,
Itsaso Zabaleta and Laura Blanco-Zubiaguirre and Ekin Nilsu Baharli and Maitane Olivares and Ailette Prieto and Olatz Zuloaga and María P. Elizalde,https://www.sciencedirect.com/science/article/pii/S0308814620306087,https://doi.org/10.1016/j.foodchem.2020.126746,0308-8146,2020,126746,Food Chemistry,Occurrence of per- and polyfluorinated compounds in paper and board packaging materials and migration to food simulants and foodstuffs,article,ZABALETA2020126746,
Barbara Burlingame,https://www.sciencedirect.com/science/article/pii/0308814696001124,https://doi.org/10.1016/0308-8146(96)00112-4,0308-8146,1996,127-131,Food Chemistry,Development of food composition database management systems: the New Zealand experience,article,BURLINGAME1996127,
Inmaculada {de la Calle} and Mathieu Menta and Marlène Klein and Fabienne Séby,https://www.sciencedirect.com/science/article/pii/S0308814618309282,https://doi.org/10.1016/j.foodchem.2018.05.107,0308-8146,2018,133-145,Food Chemistry,Study of the presence of micro- and nanoparticles in drinks and foods by multiple analytical techniques,article,DELACALLE2018133,
Sergio Luis Costa Ferreira and João Batista {Pereira Junior} and Danilo Junqueira Leão and Pedro Sanches {dos Reis} and Adriano Velame Branco Chagas and Liz {Oliveira dos Santos},https://www.sciencedirect.com/science/article/pii/S0308814621023876,https://doi.org/10.1016/j.foodchem.2021.131381,0308-8146,2022,131381,Food Chemistry,Determination and multivariate evaluation of the mineral composition of red jambo (Syzygium malaccense (L.)),article,FERREIRA2022131381,
Wenxia Dong and Jiaqi Su and Yulu Chen and Duoxia Xu and Lei Cheng and Like Mao and Yanxiang Gao and Fang Yuan,https://www.sciencedirect.com/science/article/pii/S0308814621024201,https://doi.org/10.1016/j.foodchem.2021.131414,0308-8146,2022,131414,Food Chemistry,Characterization and antioxidant properties of chitosan film incorporated with modified silica nanoparticles as an active food packaging,article,DONG2022131414,
Karolina Tkacz and Aneta Wojdyło and Igor Piotr Turkiewicz and Paulina Nowicka,https://www.sciencedirect.com/science/article/pii/S0308814620319671,https://doi.org/10.1016/j.foodchem.2020.128105,0308-8146,2021,128105,Food Chemistry,"Anti-diabetic, anti-cholinesterase, and antioxidant potential, chemical composition and sensory evaluation of novel sea buckthorn-based smoothies",article,TKACZ2021128105,
Francesca Bettazzi and Chiara Ingrosso and Patrick Severin Sfragano and Valentina Pifferi and Luigi Falciola and M. Lucia Curri and Ilaria Palchetti,https://www.sciencedirect.com/science/article/pii/S0308814620325541,https://doi.org/10.1016/j.foodchem.2020.128692,0308-8146,2021,128692,Food Chemistry,Gold nanoparticles modified graphene platforms for highly sensitive electrochemical detection of vitamin C in infant food and formulae,article,BETTAZZI2021128692,
Hang Gao and Yulong Zhang and Kangping Liu and Rubin Fan and Qiao Li and Zhenlei Zhou,https://www.sciencedirect.com/science/article/pii/S0308814622011001,https://doi.org/10.1016/j.foodchem.2022.133138,0308-8146,2022,133138,Food Chemistry,"Dietary sodium butyrate and/or vitamin D3 supplementation alters growth performance, meat quality, chemical composition, and oxidative stability in broilers",article,GAO2022133138,
Pilar Castro-Gómez and Luis M. Rodríguez-Alcalá and Karin M. Monteiro and Ana L.T.G. Ruiz and João E. Carvalho and Javier Fontecha,https://www.sciencedirect.com/science/article/pii/S0308814616309220,https://doi.org/10.1016/j.foodchem.2016.06.030,0308-8146,2016,695-702,Food Chemistry,Antiproliferative activity of buttermilk lipid fractions isolated using food grade and non-food grade solvents on human cancer cell lines,article,CASTROGOMEZ2016695,
Jing Du and Meizhu Dang and Yangyang Jia and Yujuan Xu and Chunmei Li,https://www.sciencedirect.com/science/article/pii/S0308814622008755,https://doi.org/10.1016/j.foodchem.2022.132913,0308-8146,2022,132913,Food Chemistry,"Persimmon tannin unevenly changes the physical properties, morphology, subunits composition and cross-linking types of gliadin and glutenin",article,DU2022132913,
Dong Hao Wang and Yupeng Yang and Zhen Wang and Peter Lawrence and Randy W. Worobo and J. Thomas Brenna,https://www.sciencedirect.com/science/article/pii/S0308814619303322,https://doi.org/10.1016/j.foodchem.2019.02.018,0308-8146,2019,428-433,Food Chemistry,High levels of branched chain fatty acids in nātto and other Asian fermented foods,article,WANG2019428,
Federico Casanova and Luis Gustavo Lima Nascimento and Naaman F.N. Silva and Antonio F. {de Carvalho} and Frédéric Gaucheron,https://www.sciencedirect.com/science/article/pii/S0308814621008268,https://doi.org/10.1016/j.foodchem.2021.129820,0308-8146,2021,129820,Food Chemistry,Interactions between caseins and food-derived bioactive molecules: A review,article,CASANOVA2021129820,
V. {Amal Nath} and Raja Vijayakumar and M. Maria Leena and J.A. Moses and C. Anandharamakrishnan,https://www.sciencedirect.com/science/article/pii/S0308814622013826,https://doi.org/10.1016/j.foodchem.2022.133420,0308-8146,2022,133420,Food Chemistry,Co-electrospun-electrosprayed ethyl cellulose-gelatin nanocomposite pH-sensitive membrane for food quality applications,article,AMALNATH2022133420,
Diletta Balli and Lorenzo Cecchi and Marzia Innocenti and Maria Bellumori and Nadia Mulinacci,https://www.sciencedirect.com/science/article/pii/S0308814621006488,https://doi.org/10.1016/j.foodchem.2021.129642,0308-8146,2021,129642,Food Chemistry,Food by-products valorisation: Grape pomace and olive pomace (pâté) as sources of phenolic compounds and fiber for enrichment of tagliatelle pasta,article,BALLI2021129642,
Steve R.A Adewusi and Olumuyiwa S Falade and Chris Harwood,https://www.sciencedirect.com/science/article/pii/S0308814602002534,https://doi.org/10.1016/S0308-8146(02)00253-4,0308-8146,2003,187-195,Food Chemistry,Chemical composition of Acacia colei and Acacia tumida seeds—potential food sources in the semi-arid tropics,article,ADEWUSI2003187,
D.V.S. Santana and I.A.S. Trindade and Y.M.B.G. Carvalho and A.G. Carvalho-Neto and E.C.D. Silva and E.F. Silva-Júnior and R.F.S. Leite and L.J. Quintans-Júnior and T.M. Aquino and M.R. Serafini and S.S. Guterres and L. Scotti and M.T. Scotti and A.A.S. Araújo and L.A. Frank and P.P. Menezes,https://www.sciencedirect.com/science/article/pii/S0308814620316538,https://doi.org/10.1016/j.foodchem.2020.127791,0308-8146,2021,127791,Food Chemistry,"Analytical techniques to recognize inclusion complexes formation involving monoterpenes and cyclodextrins: A study case with (–) borneol, a food ingredient",article,SANTANA2021127791,
Federico Ferreres and Catarina Andrade and Nelson G.M. Gomes and Paula B. Andrade and Angel Gil-Izquierdo and David M. Pereira and Rungcharn Suksungworn and Sutsawat Duangsrisai and Romeu A. Videira and Patrícia Valentão,https://www.sciencedirect.com/science/article/pii/S0308814620321853,https://doi.org/10.1016/j.foodchem.2020.128323,0308-8146,2021,128323,Food Chemistry,"Valorisation of kitul, an overlooked food plant: Phenolic profiling of fruits and inflorescences and assessment of their effects on diabetes-related targets",article,FERRERES2021128323,
J. Fredriksen and E.B. Løken and Å. Borgejordet and K. Gjerdevik and A. Nordbotten,https://www.sciencedirect.com/science/article/pii/S0308814608005748,https://doi.org/10.1016/j.foodchem.2008.05.019,0308-8146,2009,832-834,Food Chemistry,Unexpected sources of vitamin C,article,FREDRIKSEN2009832,
Xueyuan Bai and Feng Yin and Ang Ru and Wei Tian and Jiahui Li and Guiyan Zhang and Qingwen Chen and Rong Chai and Kang Xiao and Chaozhi Zhu and Gaiming Zhao,https://www.sciencedirect.com/science/article/pii/S0308814622017599,https://doi.org/10.1016/j.foodchem.2022.133797,0308-8146,2022,133797,Food Chemistry,Muscle fiber composition affects the postmortem redox characteristics of yak beef,article,BAI2022133797,
Papan K. Hor and Kuntal Ghosh and Suman K. Halder and Jyoti P. Soren and Debabrata Goswami and Debabrata Bera and Som Nath Singh and Sanjai K. Dwivedi and Saswati {Parua (Mondal)} and Maidul Hossain and Keshab C. Mondal,https://www.sciencedirect.com/science/article/pii/S0308814620326868,https://doi.org/10.1016/j.foodchem.2020.128824,0308-8146,2021,128824,Food Chemistry,"Evaluation of nutrient profile, biochemical composition and anti-gastric ulcer potentialities of khambir, a leavened flat bread",article,HOR2021128824,
Daylan A. Tzompa-Sosa and Koen Dewettinck and Paul Provijn and Jos F. Brouwers and Bruno {De Meulenaer} and Dennis G.A.B. Oonincx,https://www.sciencedirect.com/science/article/pii/S0308814621004994,https://doi.org/10.1016/j.foodchem.2021.129493,0308-8146,2021,129493,Food Chemistry,Corrigendum to “Lipidome of cricket species used as food” [Food Chem. 349 (2021) 129077],article,TZOMPASOSA2021129493,
Katarzyna Hąc-Wydro and Michał Flasiński and Karolina Romańczuk,https://www.sciencedirect.com/science/article/pii/S0308814617308427,https://doi.org/10.1016/j.foodchem.2017.05.051,0308-8146,2017,127-135,Food Chemistry,Essential oils as food eco-preservatives: Model system studies on the effect of temperature on limonene antibacterial activity,article,HACWYDRO2017127,
Sara {Noureddine El Moussawi} and Rosette Ouaini and Joseph Matta and Hanna Chébib and Mathieu Cladière and Valérie Camel,https://www.sciencedirect.com/science/article/pii/S0308814619304480,https://doi.org/10.1016/j.foodchem.2019.02.116,0308-8146,2019,228-238,Food Chemistry,Simultaneous migration of bisphenol compounds and trace metals in canned vegetable food,article,NOUREDDINEELMOUSSAWI2019228,
Grzegorz Dąbrowski and Sylwester Czaplicki and Marcin Szustak and Eliza Cichońska and Edyta Gendaszewska-Darmach and Iwona Konopka,https://www.sciencedirect.com/science/article/pii/S0308814621019270,https://doi.org/10.1016/j.foodchem.2021.130921,0308-8146,2022,130921,Food Chemistry,Composition of flesh lipids and oleosome yield optimization of selected sea buckthorn (Hippophae rhamnoides L.) cultivars grown in Poland,article,DABROWSKI2022130921,
Yongzhu Zhang and Liqing Yin and Lu Huang and Mekonen Tekliye and Xiudong Xia and Jianzhong Li and Mingsheng Dong,https://www.sciencedirect.com/science/article/pii/S0308814620317118,https://doi.org/10.1016/j.foodchem.2020.127849,0308-8146,2021,127849,Food Chemistry,"Composition, antioxidant activity, and neuroprotective effects of anthocyanin-rich extract from purple highland barley bran and its promotion on autophagy",article,ZHANG2021127849,
Yvonne C. O'Callaghan and Ashwini V. Shevade and Tim P. Guinee and Tom P. O'Connor and Nora M. O'Brien,https://www.sciencedirect.com/science/article/pii/S0308814618319654,https://doi.org/10.1016/j.foodchem.2018.11.026,0308-8146,2019,110-118,Food Chemistry,Comparison of the nutritional composition of experimental fermented milk:wheat bulgur blends and commercially available kishk and tarhana products,article,OCALLAGHAN2019110,
Lenar Musin and Lilya Nigmatullina and Alexander Laikov and Vladimir Morozov and Ramzi Nizamov and Ruslan Gainullin and Nikolay Vasilevskiy and Zilya Kamalova and Rimma Nefedova and Dmitry Borisov,https://www.sciencedirect.com/science/article/pii/S0308814622016272,https://doi.org/10.1016/j.foodchem.2022.133665,0308-8146,2022,133665,Food Chemistry,Study of the molecular-structural composition of alcoholic extracts of radio-induced potato tubers by mass spectrometry and EPR,article,MUSIN2022133665,
Jesús M. González-Jartín and Lisandra {de Castro Alves} and Amparo Alfonso and Y. Piñeiro and Susana Yáñez Vilar and Manuel González Gomez and Zulema Vargas Osorio and María J. Sainz and Mercedes R. Vieytes and J. Rivas and Luis M. Botana,https://www.sciencedirect.com/science/article/pii/S0308814619308076,https://doi.org/10.1016/j.foodchem.2019.05.013,0308-8146,2019,60-66,Food Chemistry,Detoxification agents based on magnetic nanostructured particles as a novel strategy for mycotoxin mitigation in food,article,GONZALEZJARTIN201960,
Yi-Qi Liu and Magdalena Wrona and Qi-Zhi Su and Paula Vera and Cristina Nerín and Chang-Ying Hu,https://www.sciencedirect.com/science/article/pii/S0308814620328478,https://doi.org/10.1016/j.foodchem.2020.128964,0308-8146,2021,128964,Food Chemistry,Influence of cooking conditions on the migration of silicone oligomers from silicone rubber baking molds to food simulants,article,LIU2021128964,
Wenwen Deng and Anqi Huang and Qutong Zheng and Long Yu and Xiao Li and Hankun Hu and Yuxiu Xiao,https://www.sciencedirect.com/science/article/pii/S030881462100337X,https://doi.org/10.1016/j.foodchem.2021.129331,0308-8146,2021,129331,Food Chemistry,"A density-tunable liquid-phase microextraction system based on deep eutectic solvents for the determination of polycyclic aromatic hydrocarbons in tea, medicinal herbs and liquid foods",article,DENG2021129331,
Ebuka David and Chinedum Eleazu and Nnanna Igweibor and Chiamaka Ugwu and Glory Enwefa and Nnaemeka Nwigboji,https://www.sciencedirect.com/science/article/pii/S0308814618320478,https://doi.org/10.1016/j.foodchem.2018.11.100,0308-8146,2019,617-624,Food Chemistry,"Comparative study on the nutrients, heavy metals and pesticide composition of some locally produced and marketed rice varieties in Nigeria",article,DAVID2019617,
Ann M. Knolhoff and Christine M. Fisher,https://www.sciencedirect.com/science/article/pii/S030881462032402X,https://doi.org/10.1016/j.foodchem.2020.128540,0308-8146,2021,128540,Food Chemistry,Strategies for data reduction in non-targeted screening analysis: The impact of sample variability for food safety applications,article,KNOLHOFF2021128540,
Huaxin Song and Liuquan Zhang and Lipeng Wu and Weisu Huang and Mengmeng Wang and Liangxiao Zhang and Yafang Shao and Meng Wang and Fang Zhang and Ziyan Zhao and Xiaohong Mei and Tao Li and Donghui Wang and Ying Liang and Jing Li and Tao Xu and Yajing Zhao and Yongheng Zhong and Qi Chen and Baiyi Lu,https://www.sciencedirect.com/science/article/pii/S0308814620305379,https://doi.org/10.1016/j.foodchem.2020.126675,0308-8146,2020,126675,Food Chemistry,Phenolic acid profiles of common food and estimated natural intake with different structures and forms in five regions of China,article,SONG2020126675,
Rajeev Ravindran and Amit K. Jaiswal,https://www.sciencedirect.com/science/article/pii/S0308814619302730,https://doi.org/10.1016/j.foodchem.2019.02.002,0308-8146,2019,363-368,Food Chemistry,Wholesomeness and safety aspects of irradiated foods,article,RAVINDRAN2019363,
Sunan Wang and Fan Zhu,https://www.sciencedirect.com/science/article/pii/S0308814617309147,https://doi.org/10.1016/j.foodchem.2017.05.111,0308-8146,2017,431-443,Food Chemistry,Chemical composition and biological activity of staghorn sumac (Rhus typhina),article,WANG2017431,
Lesley A. Chesson and David W. Podlesak and Brad R. Erkkila and Thure E. Cerling and James R. Ehleringer,https://www.sciencedirect.com/science/article/pii/S0308814609009546,https://doi.org/10.1016/j.foodchem.2009.07.046,0308-8146,2010,1250-1256,Food Chemistry,Isotopic consequences of consumer food choice: Hydrogen and oxygen stable isotope ratios in foods from fast food restaurants versus supermarkets,article,CHESSON20101250,
Fangfang Qu and Lei Lin and Chengyong Cai and Bingquan Chu and Yue Wang and Yong He and Pengcheng Nie,https://www.sciencedirect.com/science/article/pii/S0308814620313364,https://doi.org/10.1016/j.foodchem.2020.127474,0308-8146,2021,127474,Food Chemistry,"Terahertz fingerprint characterization of 2,4-dichlorophenoxyacetic acid and its enhanced detection in food matrices combined with spectral baseline correction",article,QU2021127474,
Toluwalope Emmanuel Eyinla and Rasaki Ajani Sanusi and Busie Maziya-Dixon,https://www.sciencedirect.com/science/article/pii/S0308814621006701,https://doi.org/10.1016/j.foodchem.2021.129664,0308-8146,2021,129664,Food Chemistry,Effect of processing and variety on starch digestibility and glycemic index of popular foods made from cassava (Manihot esculenta),article,EYINLA2021129664,
Si Mi and Yuhang Wang and Xiangnan Zhang and Yaxin Sang and Xianghong Wang,https://www.sciencedirect.com/science/article/pii/S0308814622017411,https://doi.org/10.1016/j.foodchem.2022.133779,0308-8146,2022,133779,Food Chemistry,"Authentication of the geographical origin of sesame seeds based on proximate composition, multi-element and volatile fingerprinting combined with chemometrics",article,MI2022133779,
Claisa Andréa Silva {de Freitas} and Paulo Henrique Machado {de Sousa} and Denise Josino Soares and José Ytalo Gomes {da Silva} and Stephen Rathinaraj Benjamin and Maria Izabel Florindo Guedes,https://www.sciencedirect.com/science/article/pii/S0308814619306181,https://doi.org/10.1016/j.foodchem.2019.03.133,0308-8146,2019,38-48,Food Chemistry,Carnauba wax uses in food – A review,article,DEFREITAS201938,
Qingxue Chen and Qianlong Yin and Qinggang Xie and Smith {Etareri Evivie} and Xin Zhao and Bailiang Li and Guicheng Huo,https://www.sciencedirect.com/science/article/pii/S0308814621029423,https://doi.org/10.1016/j.foodchem.2021.131936,0308-8146,2022,131936,Food Chemistry,Elucidating the physicochemical properties and surface composition of goat milk-based infant formula powders,article,CHEN2022131936,
Huifang Zhang and Qun Lu and Rui Liu,https://www.sciencedirect.com/science/article/pii/S0308814621029149,https://doi.org/10.1016/j.foodchem.2021.131908,0308-8146,2022,131908,Food Chemistry,Widely targeted metabolomics analysis reveals the effect of fermentation on the chemical composition of bee pollen,article,ZHANG2022131908,
Ramadhass {Keerthika Devi} and Muthusankar Ganesan and Tse-Wei Chen and Shen-Ming Chen and Kuan-Yu Lin and Muthumariappan Akilarasan and Wedad A. Al-onazi and Rabab {Ahmed Rasheed} and Mohamed S. Elshikh,https://www.sciencedirect.com/science/article/pii/S0308814622017538,https://doi.org/10.1016/j.foodchem.2022.133791,0308-8146,2022,133791,Food Chemistry,Tailored architecture of molybdenum carbide/iron oxide micro flowers with graphitic carbon nitride: An electrochemical platform for nano-level detection of organophosphate pesticide in food samples,article,KEERTHIKADEVI2022133791,
Giuseppe Granata and Stefano Stracquadanio and Marco Leonardi and Edoardo Napoli and Grazia Maria Letizia Consoli and Viviana Cafiso and Stefania Stefani and Corrada Geraci,https://www.sciencedirect.com/science/article/pii/S0308814618311166,https://doi.org/10.1016/j.foodchem.2018.06.140,0308-8146,2018,286-292,Food Chemistry,Essential oils encapsulated in polymer-based nanocapsules as potential candidates for application in food preservation,article,GRANATA2018286,
Xiangzhen Ge and Qiuhong Liang and Yao Long and Huishan Shen and Qian Zhang and Zhuangzhuang Sun and Wenhao Li,https://www.sciencedirect.com/science/article/pii/S0308814622012766,https://doi.org/10.1016/j.foodchem.2022.133314,0308-8146,2022,133314,Food Chemistry,Assessment of fresh Alpinia galanga (A. galanga) drying techniques for the chemical composition of essential oil and its antioxidant and biological activity,article,GE2022133314,
Mark Roe and Hannah Pinchen and Susan Church and Selvarani Elahi and Margaret Walker and Melanie Farron-Wilson and Judith Buttriss and Paul Finglas,https://www.sciencedirect.com/science/article/pii/S0308814612013611,https://doi.org/10.1016/j.foodchem.2012.08.067,0308-8146,2013,427-431,Food Chemistry,Trans fatty acids in a range of UK processed foods,article,ROE2013427,
Élodie Chotard and Farzad Mohammadi and Pierre Julien and Line Berthiaume and Iwona Rudkowska and Nicolas Bertrand,https://www.sciencedirect.com/science/article/pii/S0308814620305987,https://doi.org/10.1016/j.foodchem.2020.126736,0308-8146,2020,126736,Food Chemistry,Drinkable lecithin nanovesicles to study the biological effects of individual hydrophobic macronutrients and food preferences,article,CHOTARD2020126736,
Yue Ma and Ke Tang and Yan Xu and Thierry Thomas-Danguin,https://www.sciencedirect.com/science/article/pii/S0308814621004891,https://doi.org/10.1016/j.foodchem.2021.129483,0308-8146,2021,129483,Food Chemistry,Perceptual interactions among food odors: Major influences on odor intensity evidenced with a set of 222 binary mixtures of key odorants,article,MA2021129483,
N.Narayan Prasad and Farhath Khanum and M. Siddalingaswamy and K. Santhanam,https://www.sciencedirect.com/science/article/pii/030881469593284X,https://doi.org/10.1016/0308-8146(95)93284-X,0308-8146,1995,373-378,Food Chemistry,Proximate composition and dietary fibre content of various foods/rations processed to suit the Indian palate,article,PRASAD1995373,
Changfang Lu and Yi Wang and Bingyi Xu and Wei Zhang and Yue Xie and Yinyin Chen and Lizhi Wang and Xianxiang Wang,https://www.sciencedirect.com/science/article/pii/S0308814621016198,https://doi.org/10.1016/j.foodchem.2021.130613,0308-8146,2022,130613,Food Chemistry,A colorimetric and fluorescence dual-signal determination for iron (II) and H2O2 in food based on sulfur quantum dots,article,LU2022130613,
Meram Chalamaiah and Wenlin Yu and Jianping Wu,https://www.sciencedirect.com/science/article/pii/S0308814617317260,https://doi.org/10.1016/j.foodchem.2017.10.087,0308-8146,2018,205-222,Food Chemistry,Immunomodulatory and anticancer protein hydrolysates (peptides) from food proteins: A review,article,CHALAMAIAH2018205,
Federica Moccia and María Ángeles Martín and Sonia Ramos and Luis Goya and Stefania Marzorati and Marina DellaGreca and Lucia Panzella and Alessandra Napolitano,https://www.sciencedirect.com/science/article/pii/S0308814621001540,https://doi.org/10.1016/j.foodchem.2021.129152,0308-8146,2021,129152,Food Chemistry,A new cyanine from oxidative coupling of chlorogenic acid with tryptophan: Assessment of the potential as red dye for food coloring,article,MOCCIA2021129152,
Qingfa Wang and Limin Li and Xueling Zheng,https://www.sciencedirect.com/science/article/pii/S0308814620301151,https://doi.org/10.1016/j.foodchem.2020.126267,0308-8146,2020,126267,Food Chemistry,"A review of milling damaged starch: Generation, measurement, functionality and its effect on starch-based food systems",article,WANG2020126267,
