author,url,doi,issn,year,pages,journal,title,ENTRYTYPE,
M.A. Jiwan and P. Duane and L. O'Sullivan and N.M. O’Brien and S.A. Aherne,https://www.sciencedirect.com/science/article/pii/S0889157510000840,https://doi.org/10.1016/j.jfca.2009.12.014,0889-1575,2010,346-352,Journal of Food Composition and Analysis,Content and bioaccessibility of carotenoids from organic and non-organic baby foods,article,
N. Badrie and M. Joseph and N. Darbasie,https://www.sciencedirect.com/science/article/pii/S0889157503001819,https://doi.org/10.1016/j.jfca.2003.11.002,0889-1575,2005,171-179,Journal of Food Composition and Analysis,"Nutritive composition of a street food ‘doubles’ channa (Cicer arietinum) burger and its components sold in Trinidad, West Indies",article,
Bernardo Duarte and Johannes W. Goessling and Vanessa F. Fonseca and Sven-Erik Jacobsen and Ana Rita Matos,https://www.sciencedirect.com/science/article/pii/S0889157522004161,https://doi.org/10.1016/j.jfca.2022.104798,0889-1575,2022,104798,Journal of Food Composition and Analysis,Quinoa variety identification based on fatty acid composition and multivariate chemometrics approaches,article,
Carine Seeuws,https://www.sciencedirect.com/science/article/pii/S088915751730162X,https://doi.org/10.1016/j.jfca.2017.07.008,0889-1575,2017,39-42,Journal of Food Composition and Analysis,Belgian Branded Food Products Database: Inform consumers on a healthy lifestyle in a public-private partnership,article,
Marta Czarnowska-Kujawska and Elżbieta Gujska and Joanna Michalak,https://www.sciencedirect.com/science/article/pii/S0889157516302356,https://doi.org/10.1016/j.jfca.2016.12.019,0889-1575,2017,64-72,Journal of Food Composition and Analysis,Testing of different extraction procedures for folate HPLC determination in fresh fruits and vegetables,article,
Jehangir Khan Khalil,https://www.sciencedirect.com/science/article/pii/S0889157500908834,https://doi.org/10.1006/jfca.2000.0883,0889-1575,2000,669-684,Journal of Food Composition and Analysis,Food Composition Activities in Developing Countries: SAARCFOODS Perspective,article,
Carmen Santangelo and Floriana Mandracchia and Danilo Bondi and Raffaela Piccinelli and Giovina Catasta and Elisabet Llauradó and Lucia Tarro and Vittore Verratti and Angelo Cichelli and Stefania Sette and Tiziana Pietrangelo,https://www.sciencedirect.com/science/article/pii/S088915752200415X,https://doi.org/10.1016/j.jfca.2022.104797,0889-1575,2022,104797,Journal of Food Composition and Analysis,"Traditional dishes, online tools, and public engagement: A feasible and scalable method to evaluate local recipes on nutritional content, sustainability, and health risks. Insight from Abruzzo, Italy",article,
Linyang Ye and Li Mu and Gang Li and Yi Bao,https://www.sciencedirect.com/science/article/pii/S0889157519309391,https://doi.org/10.1016/j.jfca.2019.103393,0889-1575,2020,103393,Journal of Food Composition and Analysis,Assessing sialic acid content in food by hydrophilic chromatography-high performance liquid chromatography,article,
Lihua Chen and Wenhua Zeng and Yuzhi Rong and Bao Lou,https://www.sciencedirect.com/science/article/pii/S0889157521005706,https://doi.org/10.1016/j.jfca.2021.104370,0889-1575,2022,104370,Journal of Food Composition and Analysis,"Compositions, nutritional and texture quality of wild-caught andcage-cultured small yellow croaker",article,
Gesa Joslowski and Jimin Yang and Carin {Andrén Aronsson} and Suvi Ahonen and Martha Butterworth and Jenna Rautanen and Jill M. Norris and Suvi M. Virtanen and Ulla Uusitalo,https://www.sciencedirect.com/science/article/pii/S088915751730203X,https://doi.org/10.1016/j.jfca.2017.07.037,0889-1575,2017,79-88,Journal of Food Composition and Analysis,Development of a harmonized food grouping system for between-country comparisons in the TEDDY Study,article,
Piotr Holowinski and Andrzej L. Dawidowicz and Rafal Typek,https://www.sciencedirect.com/science/article/pii/S0889157522001272,https://doi.org/10.1016/j.jfca.2022.104509,0889-1575,2022,104509,Journal of Food Composition and Analysis,Chlorogenic acid-water complexes in chlorogenic acid containing food products,article,
Cengiz KORKMAZ and Gülsemin ŞEN AGILKAYA and Sahire KARAYTUG and Özcan AY,https://www.sciencedirect.com/science/article/pii/S0889157522002241,https://doi.org/10.1016/j.jfca.2022.104606,0889-1575,2022,104606,Journal of Food Composition and Analysis,Composition and human health risk analysis of elements in muscle tissues of wild and farmed fish species from Northeast Mediterranean,article,
Jean A.T. Pennington,https://www.sciencedirect.com/science/article/pii/S0889157503000279,https://doi.org/10.1016/S0889-1575(03)00027-9,0889-1575,2003,359-364,Journal of Food Composition and Analysis,National Institutes of Health (NIH) activities concerning nutrition research related to food composition databases,article,
Joseph T. Spence,https://www.sciencedirect.com/science/article/pii/S0889157505001420,https://doi.org/10.1016/j.jfca.2005.11.007,0889-1575,2006,S4-S6,Journal of Food Composition and Analysis,Challenges related to the composition of functional foods,article,
Rory P.H. McBurney and Caroline Griffin and Alison A. Paul and David C. Greenberg,https://www.sciencedirect.com/science/article/pii/S0889157504000420,https://doi.org/10.1016/j.jfca.2004.03.008,0889-1575,2004,277-289,Journal of Food Composition and Analysis,The nutritional composition of African wild food plants: from compilation to utilization,article,
Guangya Wang and James Robertson and Banoo Parpia and Junshi Chen and T.Colin Campbell,https://www.sciencedirect.com/science/article/pii/088915759190015X,https://doi.org/10.1016/0889-1575(91)90015-X,0889-1575,1991,293-303,Journal of Food Composition and Analysis,Dietary fiber composition of selected foods in the People's Republic of China,article,
Samira Bernardino Ramos do Prado and Eliana Bistriche Giuntini and Fernanda Grande and Elizabete Wenzel de Menezes,https://www.sciencedirect.com/science/article/pii/S0889157516301399,https://doi.org/10.1016/j.jfca.2016.08.007,0889-1575,2016,1-6,Journal of Food Composition and Analysis,Techniques to evaluate changes in the nutritional profile of food products,article,
Sonia Rosario Calliope and Norma Sammán,https://www.sciencedirect.com/science/article/pii/S088915751931186X,https://doi.org/10.1016/j.jfca.2019.103289,0889-1575,2019,103289,Journal of Food Composition and Analysis,"12th IFDC 2017 Special issue –Sodium content in foods consumed by Argentines: Monitoring compliance with agreements, in labels and samples",article,
Alexsandra Pereira Rodrigues and Glaucia Maria Pastore,https://www.sciencedirect.com/science/article/pii/S0889157521000788,https://doi.org/10.1016/j.jfca.2021.103878,0889-1575,2021,103878,Journal of Food Composition and Analysis,A review of the nutritional composition and current applications of monguba (Pachira aquatica Aubl.) plant,article,
Eden M. Barrett and Yasmine C. Probst and Eleanor J. Beck,https://www.sciencedirect.com/science/article/pii/S0889157517302557,https://doi.org/10.1016/j.jfca.2017.10.004,0889-1575,2018,1-6,Journal of Food Composition and Analysis,Creation of a database for the estimation of cereal fibre content in foods,article,
Yanwei Fu and Jing Zhang and Jiaan Qin and Xiaowen Dou and Jiaoyang Luo and Meihua Yang,https://www.sciencedirect.com/science/article/pii/S0889157522002356,https://doi.org/10.1016/j.jfca.2022.104617,0889-1575,2022,104617,Journal of Food Composition and Analysis,Representative matrices for use in matrix-matched calibration in gas chromatography-mass spectrometry for the analysis of pesticide residues in different types of food-medicine plants,article,
Vritika Jain and Sucheta Sharma,https://www.sciencedirect.com/science/article/pii/S0889157522002113,https://doi.org/10.1016/j.jfca.2022.104593,0889-1575,2022,104593,Journal of Food Composition and Analysis,Physicochemical and proximate composition of mungbean × urdbean and mungbean × ricebean interspecific lines,article,
Qiuyu Lin and Jiannan Sun and Yuanchao Wang and Meiying Ye and Heyong Cheng,https://www.sciencedirect.com/science/article/pii/S088915752200432X,https://doi.org/10.1016/j.jfca.2022.104814,0889-1575,2022,104814,Journal of Food Composition and Analysis,Rapid determination of aldehydes in food by high-throughput reactive paper spray ionization mass spectrometry,article,
K.A. Millar and E. Gallagher and R. Burke and S. McCarthy and C. Barry-Ryan,https://www.sciencedirect.com/science/article/pii/S0889157518304988,https://doi.org/10.1016/j.jfca.2019.103233,0889-1575,2019,103233,Journal of Food Composition and Analysis,"Proximate composition and anti-nutritional factors of fava-bean (Vicia faba), green-pea and yellow-pea (Pisum sativum) flour",article,
C.G. Staggs and W.M. Sealey and B.J. McCabe and A.M. Teague and D.M. Mock,https://www.sciencedirect.com/science/article/pii/S0889157503001558,https://doi.org/10.1016/j.jfca.2003.09.015,0889-1575,2004,767-776,Journal of Food Composition and Analysis,Determination of the biotin content of select foods using accurate and sensitive HPLC/avidin binding,article,
Agnieszka Piekara and Małgorzata Krzywonos and Katarzyna Pstrowska,https://www.sciencedirect.com/science/article/pii/S0889157519302133,https://doi.org/10.1016/j.jfca.2020.103436,0889-1575,2020,103436,Journal of Food Composition and Analysis,Lollipop supplements- nutrient-dense foods or sweets in disguise?,article,
André M.P.T. Pereira and Liliana J.G. Silva and Brígida D.F. Simões and Celeste Lino and Angelina Pena,https://www.sciencedirect.com/science/article/pii/S0889157519306696,https://doi.org/10.1016/j.jfca.2020.103541,0889-1575,2020,103541,Journal of Food Composition and Analysis,Exposure to nickel through commercial premade baby foods: Is there any risk?,article,
Bhaskarani Jasthi and Janet Pettit and Lisa Harnack,https://www.sciencedirect.com/science/article/pii/S0889157519303345,https://doi.org/10.1016/j.jfca.2019.103330,0889-1575,2020,103330,Journal of Food Composition and Analysis,Addition of gluten values to a food and nutrient database,article,
Retno Murwani and Andri {Cahyo Kumoro} and Ambariyanto Ambariyanto and Elena N. Naumova,https://www.sciencedirect.com/science/article/pii/S0889157519315170,https://doi.org/10.1016/j.jfca.2020.103461,0889-1575,2020,103461,Journal of Food Composition and Analysis,Nutrient composition of underutilized skeins of flying fish (Hirundichthys oxycephalus): The new and better egg whites,article,
Fabrice Bationo and Christèle Humblot and Laurencia T. Songré-Ouattara and Fatoumata Hama-Ba and Manon {Le Merrer} and Morgane Chapron and Susanna Kariluoto and Youna M. Hemery,https://www.sciencedirect.com/science/article/pii/S0889157518312092,https://doi.org/10.1016/j.jfca.2019.103309,0889-1575,2020,103309,Journal of Food Composition and Analysis,Total folate in West African cereal-based fermented foods: Bioaccessibility and influence of processing,article,
L. Akissoé and Y.E. Madodé and Y.M. Hemery and B.V. Donadjè and C. Icard-Vernière and D.J. Hounhouigan and C. Mouquet-Rivier,https://www.sciencedirect.com/science/article/pii/S0889157520314587,https://doi.org/10.1016/j.jfca.2020.103753,0889-1575,2021,103753,Journal of Food Composition and Analysis,"Impact of traditional processing on proximate composition, folate, mineral, phytate, and alpha-galacto-oligosaccharide contents of two West African cowpea (Vigna unguiculata L. Walp) based doughnuts",article,
Nha K. Huynh and Duyen H.M. Nguyen and Ha V.H. Nguyen,https://www.sciencedirect.com/science/article/pii/S0889157522003039,https://doi.org/10.1016/j.jfca.2022.104685,0889-1575,2022,104685,Journal of Food Composition and Analysis,Effects of processing on oxalate contents in plant foods: A review,article,
Jean H. Hankin and Suzanne P. Murphy and Carol Lau and Sabrina Umphress and Laurence N. Kolonel,https://www.sciencedirect.com/science/article/pii/S0889157599908761,https://doi.org/10.1006/jfca.1999.0876,0889-1575,2000,419-424,Journal of Food Composition and Analysis,Techniques for Combining American and British Food Composition Data on Specific Carbohydrates,article,
Helena Abramovič and Rajko Vidrih and Emil Zlatić and Doris Kokalj and Matthias Schreiner and Katja Žmitek and Anita Kušar and Igor Pravst,https://www.sciencedirect.com/science/article/pii/S0889157518307968,https://doi.org/10.1016/j.jfca.2018.08.007,0889-1575,2018,53-61,Journal of Food Composition and Analysis,Trans fatty acids in margarines and shortenings in the food supply in Slovenia,article,
Peihua Ma and An Li and Ning Yu and Ying Li and Rahul Bahadur and Qin Wang and Jaspreet K. Ahuja,https://www.sciencedirect.com/science/article/pii/S0889157521000570,https://doi.org/10.1016/j.jfca.2021.103857,0889-1575,2021,103857,Journal of Food Composition and Analysis,"Application of machine learning for estimating label nutrients using USDA Global Branded Food Products Database, (BFPD)",article,
Ole Hels and Torben Larsen and Lars P Christensen and Ulla Kidmose and Nazmul Hassan and Shakuntala Haraksingh Thilsted,https://www.sciencedirect.com/science/article/pii/S0889157503001303,https://doi.org/10.1016/j.jfca.2003.08.007,0889-1575,2004,587-595,Journal of Food Composition and Analysis,"Contents of iron, calcium, zinc and β-carotene in commonly consumed vegetables in Bangladesh",article,
W. Becker,https://www.sciencedirect.com/science/article/pii/S088915750291077X,https://doi.org/10.1006/jfca.2002.1077,0889-1575,2002,485-489,Journal of Food Composition and Analysis,Norfoods—Recent Activities,article,
Rachida Chekri and Emilie {Le Calvez} and Julie Zinck and Jean-Charles Leblanc and Véronique Sirot and Marion Hulin and Laurent Noël and Thierry Guérin,https://www.sciencedirect.com/science/article/pii/S0889157518301868,https://doi.org/10.1016/j.jfca.2019.02.002,0889-1575,2019,108-120,Journal of Food Composition and Analysis,Trace element contents in foods from the first French total diet study on infants and toddlers,article,
Maria del Mar Campo and Antonio Silva and Ana Guerrero and Luis Gustavo Castro and José Luis Olleta and Noelia Martin and Carlos Fernández and Fermín López,https://www.sciencedirect.com/science/article/pii/S0889157521002192,https://doi.org/10.1016/j.jfca.2021.104019,0889-1575,2021,104019,Journal of Food Composition and Analysis,Nutrient composition of Spanish small ruminants,article,
Arianna Ricci and Giuseppina P. Parpinello and Aline S. Palma and Nemanja Teslić and Claudio Brilli and Antonio Pizzi and Andrea Versari,https://www.sciencedirect.com/science/article/pii/S0889157517300315,https://doi.org/10.1016/j.jfca.2017.01.014,0889-1575,2017,95-104,Journal of Food Composition and Analysis,"Analytical profiling of food-grade extracts from grape (Vitis vinifera sp.) seeds and skins, green tea (Camellia sinensis) leaves and Limousin oak (Quercus robur) heartwood using MALDI-TOF-MS, ICP-MS and spectrophotometric methods",article,
Ching Phang Chong and Hasnah Haron and Suzana Shahar and Mohd Fairulnizal {Md Noh},https://www.sciencedirect.com/science/article/pii/S0889157518306240,https://doi.org/10.1016/j.jfca.2019.03.017,0889-1575,2019,1-9,Journal of Food Composition and Analysis,"Individual sugars contents in cooked dishes, processed foods, fruits and beverages commonly consumed by Malaysian",article,
Dan Chen and Qing Xu and Yuepeng Lu and Yanni Mao and Yong Yang and Fengqin Tu and Jia Xu and Yechao Chen and Xiaoming Jiang and Jianghai Lu and Zong Yang,https://www.sciencedirect.com/science/article/pii/S0889157521001654,https://doi.org/10.1016/j.jfca.2021.103965,0889-1575,2021,103965,Journal of Food Composition and Analysis,The QuEChERS method coupled with high-performance liquid chromatography-tandem mass spectrometry for the determination of diuretics in animal-derived foods,article,
Ntombokulunga W. Mbuma and Maryke Labuschagne and Julius Siwale and Arno Hugo,https://www.sciencedirect.com/science/article/pii/S0889157522000953,https://doi.org/10.1016/j.jfca.2022.104477,0889-1575,2022,104477,Journal of Food Composition and Analysis,"Diversity in seed protein content, selected minerals, oil content and fatty acid composition of the Southern African Bambara groundnut germplasm collection",article,
R. {Sue Day} and Deirdre L. Douglass and Bussie Maziya-Dixon,https://www.sciencedirect.com/science/article/pii/S0889157507001068,https://doi.org/10.1016/j.jfca.2007.07.005,0889-1575,2008,S109-S114,Journal of Food Composition and Analysis,Developing a Nigerian-specific food and nutrient coding database,article,
Yingjian Lu and Ayaz Memon and Patrick Fuerst and Alecia Kizonas and Craig Morris and Devanand Luthria,https://www.sciencedirect.com/science/article/pii/S0889157517300674,https://doi.org/10.1016/j.jfca.2017.03.001,0889-1575,2017,10-16,Journal of Food Composition and Analysis,Changes in the phenolic acids composition during pancake preparation: Whole and refined grain flour and processed food classification by UV and NIR spectral fingerprinting method—Proof of concept,article,
Barbara Stadlmayr and John Wanangwe and Charles Gitahi Waruhiu and Ramni Jamnadass and Katja Kehlenbeck,https://www.sciencedirect.com/science/article/pii/S0889157520313223,https://doi.org/10.1016/j.jfca.2020.103617,0889-1575,2020,103617,Journal of Food Composition and Analysis,Nutritional composition of baobab (Adansonia digitata L.) fruit pulp sampled at different geographical locations in Kenya,article,
Elnaz Delnavaz and Mohammad Amjadi and Mir Ali Farajzadeh,https://www.sciencedirect.com/science/article/pii/S0889157522004914,https://doi.org/10.1016/j.jfca.2022.104873,0889-1575,2023,104873,Journal of Food Composition and Analysis,Metal-organic framework with dual-loading of nickel/nitrogen-doped carbon dots and magnetic nanoparticles for fluorescence detection of fenitrothion in food samples,article,
Beiwen Wu and Janet M. Roseland and David B. Haytowitz and Pamela R. Pehrsson and Abby G. Ershow,https://www.sciencedirect.com/science/article/pii/S0889157519303485,https://doi.org/10.1016/j.jfca.2019.103281,0889-1575,2019,103281,Journal of Food Composition and Analysis,"Availability and quality of published data on the purine content of foods, alcoholic beverages, and dietary supplements",article,
Sandeep Banerjee and T. {Kurtis Kyser} and April Vuletich and Evelyne Leduc,https://www.sciencedirect.com/science/article/pii/S0889157515001076,https://doi.org/10.1016/j.jfca.2015.03.011,0889-1575,2015,98-116,Journal of Food Composition and Analysis,Elemental and stable isotopic study of sweeteners and edible oils: Constraints on food authentication,article,
Shanthy A. Bowman,https://www.sciencedirect.com/science/article/pii/S0889157517301679,https://doi.org/10.1016/j.jfca.2017.07.013,0889-1575,2017,64-67,Journal of Food Composition and Analysis,Added sugars: Definition and estimation in the USDA Food Patterns Equivalents Databases,article,
Isabel Castanheira and Ana Sofia Matos and Inês Coelho and Sandra Gueifão and Mark Roe and Maria Antónia Calhau and Paul Finglas,https://www.sciencedirect.com/science/article/pii/S0889157511001542,https://doi.org/10.1016/j.jfca.2011.06.001,0889-1575,2011,1153-1159,Journal of Food Composition and Analysis,Six Sigma scale as a quality criterion for aggregation of food property measures,article,
C.J.M. Beemster and K.F.A.M. Hulshof and B.C. Breedveld and S. Westenbrink,https://www.sciencedirect.com/science/article/pii/S0889157500908998,https://doi.org/10.1006/jfca.2000.0899,0889-1575,2000,411-417,Journal of Food Composition and Analysis,Creation of a Database for the Calculation of Nutrient Intake Over Time,article,
Bao-Gang Yu and Xiu-Xiu Chen and Cheng-Xiang Zhou and Tong-Bin Ding and Zhong-Hua Wang and Chun-Qin Zou,https://www.sciencedirect.com/science/article/pii/S0889157522003933,https://doi.org/10.1016/j.jfca.2022.104775,0889-1575,2022,104775,Journal of Food Composition and Analysis,Nutritional composition of maize grain associated with phosphorus and zinc fertilization,article,
Maria Parpinel and Patrizia Gnagnarella and Simonetta Salvini,https://www.sciencedirect.com/science/article/pii/S0889157500909049,https://doi.org/10.1006/jfca.2000.0904,0889-1575,2000,511-523,Journal of Food Composition and Analysis,Proposal for the Validation of the Italian Food Composition Database,article,
Ilmi Fadhilah Rizki and Frisda Rimbun Panjaitan and Manda Edy Mulyono and Brahmani Dewa Bajra,https://www.sciencedirect.com/science/article/pii/S0889157522004367,https://doi.org/10.1016/j.jfca.2022.104818,0889-1575,2022,104818,Journal of Food Composition and Analysis,The utilization of natural deep eutectic solvent composition in tocotrienol and tocopherol extraction from crude palm oil and its acylglycerol products,article,
Álvaro Toledo and Barbara Burlingame,https://www.sciencedirect.com/science/article/pii/S0889157506000755,https://doi.org/10.1016/j.jfca.2006.05.001,0889-1575,2006,477-483,Journal of Food Composition and Analysis,Biodiversity and nutrition: A common path toward global food security and sustainable development,article,
F. Bernardo and J.L. Moreira and C. Gonçalves and M.J. Pena and O. Pinho and R. Martins and A. Alves,https://www.sciencedirect.com/science/article/pii/S0889157521004397,https://doi.org/10.1016/j.jfca.2021.104239,0889-1575,2022,104239,Journal of Food Composition and Analysis,Saltquanti – Development of a new portable device to analyse salt content in food,article,
Jenny A. Plumb and Michael J.C. Rhodes and Anna M. Lampi and Manuela Buchgraber and Paul A. Kroon,https://www.sciencedirect.com/science/article/pii/S0889157510003091,https://doi.org/10.1016/j.jfca.2010.10.007,0889-1575,2011,1024-1031,Journal of Food Composition and Analysis,"Phytosterols in plant foods: Exploring contents, data distribution and aggregated values using an online bioactives database",article,
Wael I. Mortada and Kareem A. Nabieh and Tamer E. Helmy and Yasmeen G. {Abou El-Reash},https://www.sciencedirect.com/science/article/pii/S0889157521005524,https://doi.org/10.1016/j.jfca.2021.104352,0889-1575,2022,104352,Journal of Food Composition and Analysis,Microwave-assisted synthesis of MCM-41 composite with rice husk and its functionalization by dithizone for preconcentration of some metal ions from water and food samples,article,
Rhoda N. Ndanuko and Elizabeth K. Dunford and Jason H.Y. Wu and David Raubenheimer and Bruce C. Neal,https://www.sciencedirect.com/science/article/pii/S0889157519306003,https://doi.org/10.1016/j.jfca.2019.103405,0889-1575,2020,103405,Journal of Food Composition and Analysis,Changes in sodium levels of processed foods among the International Food and Beverage Association member companies in Australia: 2013–2017,article,
Ana Nascimento and Susana Santiago and Inês Coelho and Marta Ventura and Sandra Gueifão and Mariana Santos and Isabel Castanheira,https://www.sciencedirect.com/science/article/pii/S088915752100291X,https://doi.org/10.1016/j.jfca.2021.104091,0889-1575,2021,104091,Journal of Food Composition and Analysis,Sodium and potassium contents in food samples from the first Portuguese total diet pilot study,article,
Cassandra J. Nikodijevic and Yasmine C. Probst and Elizabeth P. Neale,https://www.sciencedirect.com/science/article/pii/S0889157518313346,https://doi.org/10.1016/j.jfca.2019.103236,0889-1575,2019,103236,Journal of Food Composition and Analysis,Development of a database for estimation of the nut content of Australian single-ingredient and multi-ingredient foods,article,
Simonetta Salvini and Patrizia Gnagnarella and Maria Teresa Parpinel and Peter Boyle and Adriano Decarli and Monica Ferraroni and Attilio Giacosa and Carlo {La Vecchia} and Eva Negri and Silvia Franceschi,https://www.sciencedirect.com/science/article/pii/S0889157596900071,https://doi.org/10.1006/jfca.1996.0007,0889-1575,1996,57-71,Journal of Food Composition and Analysis,The Food Composition Database for an Italian Food Frequency Questionnaire,article,
Rafaela Prata and Mateus Henrique Petrarca and José Teixeira Filho and Helena Teixeira Godoy,https://www.sciencedirect.com/science/article/pii/S0889157521000740,https://doi.org/10.1016/j.jfca.2021.103874,0889-1575,2021,103874,Journal of Food Composition and Analysis,"Simultaneous determination of furfural, 5-hydroxymethylfurfural and 4-hydroxy-2,5-dimethyl-3(2H)-furanone in baby foods available in the Brazilian market",article,
Eliana B. Giuntini and Kristy S. Coelho and Fernanda Grande and Dirce M.L. Marchioni and Eduardo {De Carli} and Rosely Sichieri and Rosângela A. Pereira and Eduardo Purgatto and Bernadette D.G.M. Franco and Franco M. Lajolo and Elizabete W. Menezes,https://www.sciencedirect.com/science/article/pii/S0889157519311834,https://doi.org/10.1016/j.jfca.2019.103286,0889-1575,2019,103286,Journal of Food Composition and Analysis,12th IFDC 2017 Special issue – Brazilian Nutrient Intake Evaluation Database: An essential tool for estimating nutrient intake data,article,
Mrinal Ray and Debnirmalya Gangopadhyay,https://www.sciencedirect.com/science/article/pii/S0889157521000983,https://doi.org/10.1016/j.jfca.2021.103898,0889-1575,2021,103898,Journal of Food Composition and Analysis,"Effect of maturation stage and sex on proximate, fatty acid and mineral composition of eri silkworm (Samia ricini) from India",article,
Arlie Lehmkuhler and Mark D. Miller and Asa Bradman and Rosemary Castorina and Mary-Ann Chen and Tonya Xie and Alyson E. Mitchell,https://www.sciencedirect.com/science/article/pii/S0889157522002678,https://doi.org/10.1016/j.jfca.2022.104649,0889-1575,2022,104649,Journal of Food Composition and Analysis,Levels of FD&C certified food dyes in foods commonly consumed by children,article,
I. Garcia-Herrero and M. Margallo and J. Laso and L. Batlle-Bayer and A. Bala and P. Fullana-i-Palmer and I. Vazquez-Rowe and M.J. Gonzalez and F. Amo-Setien and M.J. Durá and C. Sarabia and R. Abajas and A. Quiñones and A. Irabien and R. Aldaco,https://www.sciencedirect.com/science/article/pii/S0889157519307628,https://doi.org/10.1016/j.jfca.2019.05.006,0889-1575,2019,103223,Journal of Food Composition and Analysis,Nutritional data management of food losses and waste under a life cycle approach: Case study of the Spanish agri-food system,article,
A. Díaz and M.A. García and C. Dini,https://www.sciencedirect.com/science/article/pii/S0889157522004811,https://doi.org/10.1016/j.jfca.2022.104863,0889-1575,2022,104863,Journal of Food Composition and Analysis,Jerusalem artichoke flour as food ingredient and as source of fructooligosaccharides and inulin,article,
Vanesa Guillén-Casla and Noelia Rosales-Conrado and María Eugenia León-González and Luis Vicente Pérez-Arribas and Luis María Polo-Díez,https://www.sciencedirect.com/science/article/pii/S0889157510003182,https://doi.org/10.1016/j.jfca.2010.11.010,0889-1575,2011,456-464,Journal of Food Composition and Analysis,Principal component analysis (PCA) and multiple linear regression (MLR) statistical tools to evaluate the effect of E-beam irradiation on ready-to-eat food,article,
Catherine M. Champagne,https://www.sciencedirect.com/science/article/pii/S0889157503000425,https://doi.org/10.1016/S0889-1575(03)00042-5,0889-1575,2003,251-253,Journal of Food Composition and Analysis,Food composition databases: important tools for improving national health,article,
,https://www.sciencedirect.com/science/article/pii/S0889157506000172,https://doi.org/10.1016/j.jfca.2006.02.004,0889-1575,2006,S115-S117,Journal of Food Composition and Analysis,"Program of the US 28th National Nutrient Databank Conference, From Farm to Fork - Practical Applications for Food Composition Data",article,
Ruchita Rao Kavle and Alan Carne and Alaa El-Din Ahmed Bekhit and Biniam Kebede and Dominic Agyei,https://www.sciencedirect.com/science/article/pii/S088915752200196X,https://doi.org/10.1016/j.jfca.2022.104578,0889-1575,2022,104578,Journal of Food Composition and Analysis,Proximate composition and lipid nutritional indices of larvae and pupae of the edible Huhu beetle (Prionoplus reticularis) endemic to New Zealand,article,
Jarosław Czubinski and Anna Grygier and Aleksander Siger,https://www.sciencedirect.com/science/article/pii/S0889157521000752,https://doi.org/10.1016/j.jfca.2021.103875,0889-1575,2021,103875,Journal of Food Composition and Analysis,Lupinus mutabilis seed composition and its comparison with other lupin species,article,
Jaspreet K.C. Ahuja and Ying Li and Rahul Bahadur and Quynhanh Nguyen and Ermias Haile and Pamela R. Pehrsson,https://www.sciencedirect.com/science/article/pii/S0889157521001204,https://doi.org/10.1016/j.jfca.2021.103920,0889-1575,2021,103920,Journal of Food Composition and Analysis,IngID: A framework for parsing and systematic reporting of ingredients used in commercially packaged foods,article,
Humberto Araújo Almeida and Janaína Guernica Silva and Isabela Goulart Custódio and Decio Karam and Queila Souza Garcia,https://www.sciencedirect.com/science/article/pii/S0889157521003987,https://doi.org/10.1016/j.jfca.2021.104198,0889-1575,2022,104198,Journal of Food Composition and Analysis,Productivity and food safety of grain crops and forage species grown in iron ore tailings,article,
Zhao Tan and Wenqin Wu and Nanri Yin and Mingming Jia and Xiaomei Chen and Yizhen Bai and Huimin Wu and Zhaowei Zhang and Peiwu Li,https://www.sciencedirect.com/science/article/pii/S0889157520313338,https://doi.org/10.1016/j.jfca.2020.103628,0889-1575,2020,103628,Journal of Food Composition and Analysis,Determination of selenium in food and environmental samples using a gold nanocages/fluorinated graphene nanocomposite modified electrode,article,
Rhonda S. Sebastian and Marie {Fanelli Kuczmarski} and Cecilia {Wilkinson Enns} and Joseph D. Goldman and Theophile Murayi and Alanna J. Moshfegh and Alan B. Zonderman and Michele K. Evans,https://www.sciencedirect.com/science/article/pii/S0889157521003240,https://doi.org/10.1016/j.jfca.2021.104124,0889-1575,2021,104124,Journal of Food Composition and Analysis,"Application of the Database of Flavonoid Values for USDA Food Codes 2007–2010 in assessing intake differences between the Healthy Aging in Neighborhoods of Diversity across the Life Span (HANDLS) study and What We Eat in America (WWEIA), NHANES",article,
Láisa Gomes Dias and Adriele Hacke and Ernane {dos Santos Souza} and Seema Nath and Miriam Regina Canesin and Omar Vieira Vilella and Bruno Geloneze and Juliana Azevedo Lima Pallone and Cínthia Baú Betim Cazarin and Joshua John Blakeslee and Lilian Regina Barros Mariutti and Neura Bragagnolo,https://www.sciencedirect.com/science/article/pii/S0889157522002265,https://doi.org/10.1016/j.jfca.2022.104608,0889-1575,2022,104608,Journal of Food Composition and Analysis,Comparison of chemical and nutritional compositions between aromatic and non-aromatic rice from Brazil and effect of planting time on bioactive compounds,article,
Abed Forouzesh and Fatemeh Forouzesh and Sadegh {Samadi Foroushani} and Abolfazl Forouzesh,https://www.sciencedirect.com/science/article/pii/S0889157521003884,https://doi.org/10.1016/j.jfca.2021.104188,0889-1575,2021,104188,Journal of Food Composition and Analysis,A new method for calculating thiamin content and determining appropriate thiamin levels in foods,article,
