orkg:P27060,paper:authors,paper:url,paper:doi,orkg:P74029,paper:publication_year,paper:published_in,paper:title,paper:research_field,contribution:research_problem
,Antonio Fernández and José Manuel Muñoz and Elisabet Martín-Tornero and Manuel Martínez and Daniel Martín-Vertedor,https://www.sciencedirect.com/science/article/pii/S0889157522000412,10.1016/j.jfca.2022.104423,0889-1575,2022,Journal of Food Composition and Analysis,Acrylamide mitigation in Californian-style olives after thermal and baking treatments,R91,Food components identification
,Johanna T. Dwyer and Leila G. Saldanha and Richard Bailen,https://www.sciencedirect.com/science/article/pii/S0889157521004440,10.1016/j.jfca.2021.104244,0889-1575,2022,Journal of Food Composition and Analysis,Dietary supplement databases: Public health tools,R91,Food components identification
,Le Hai Thi Le and Thanh-Thien Tran-Lam and Hoa Quynh Nguyen and Thuy Cam Quan and Trung Quang Nguyen and Duong Thanh Nguyen and Yen Hai Dao,https://www.sciencedirect.com/science/article/pii/S0889157521002660,10.1016/j.jfca.2021.104066,0889-1575,2021,Journal of Food Composition and Analysis,A study on multi-mycotoxin contamination of commercial cashew nuts in Vietnam,R91,Food components identification
,Amonrat Thanonkaew and Soottawat Benjakul and Wonnop Visessanguan,https://www.sciencedirect.com/science/article/pii/S088915750500075X,10.1016/j.jfca.2005.04.008,0889-1575,2006,Journal of Food Composition and Analysis,Chemical composition and thermal property of cuttlefish (Sepia pharaonis) muscle,R91,Food components identification
,Rajendra-Prasad Pawar and Abhilasha Durgbanshi and Devasish Bose and Juan Peris-Vicente and Jaume Albiol-Chiva and Josep Esteve-Romero and Samuel Carda-Broch,https://www.sciencedirect.com/science/article/pii/S0889157521003112,10.1016/j.jfca.2021.104111,0889-1575,2021,Journal of Food Composition and Analysis,Determination of albendazole and ivermectin residues in cattle and poultry-derived samples from India by micellar liquid chromatography,R91,Food components identification
,Bei-Zhong Han and Frans M. Rombouts and M.J.Robert Nout,https://www.sciencedirect.com/science/article/pii/S0889157503001510,10.1016/j.jfca.2003.09.012,0889-1575,2004,Journal of Food Composition and Analysis,"Amino acid profiles of sufu, a Chinese fermented soybean food",R91,Food components identification
,Sunday Y. Giami,https://www.sciencedirect.com/science/article/pii/S0889157504001164,10.1016/j.jfca.2004.06.007,0889-1575,2005,Journal of Food Composition and Analysis,Compositional and nutritional properties of selected newly developed lines of cowpea (Vigna unguiculata L.Walp).,R91,Food components identification
,Aneta Jastrzębska and Sylwia Kowalska and Edward Szłyk,https://www.sciencedirect.com/science/article/pii/S0889157516302381,10.1016/j.jfca.2016.12.021,0889-1575,2017,Journal of Food Composition and Analysis,New procedure for column-switching isotachophoretic determination of vitamins B1 and B6 in beer samples,R91,Food components identification
,Giovanna Loredana {La Torre} and Archimede Rotondo and Andrea Salvo,https://www.sciencedirect.com/science/article/pii/S0889157522005191,10.1016/j.jfca.2022.104901,0889-1575,2022,Journal of Food Composition and Analysis,Do vine cropping and breeding practices affect the biogenic amine content of produced wines?,R91,Food components identification
,Rafael Monge-Rojas and Hannia Campos,https://www.sciencedirect.com/science/article/pii/S0889157511001566,10.1016/j.jfca.2011.06.003,0889-1575,2012,Journal of Food Composition and Analysis,"Corrigendum to: “Tocopherol and carotenoid content of foods commonly consumed in Costa Rica” [R. Monge-Rojas, H. Campos, J. Food Compos. Anal. 24 (2) (2011) 202–216]",R91,Food components identification
,Hwayoung Noh and Geneviève Nicolas and Hee Young Paik and Jeongseon Kim and Nadia Slimani,https://www.sciencedirect.com/science/article/pii/S0889157517301618,10.1016/j.jfca.2017.07.007,0889-1575,2017,Journal of Food Composition and Analysis,Improving standardization of national nutrient databases for use in international settings: A Korean proof of concept,R91,Food components identification
,Jessica E. Keller and Matthew K. Taylor and Aaron N. Smith and Juleah Littrell and Kendra Spaeth and Caitlin R. Boeckman and Jeffrey M. Burns and Debra K. Sullivan,https://www.sciencedirect.com/science/article/pii/S0889157521004439,10.1016/j.jfca.2021.104243,0889-1575,2022,Journal of Food Composition and Analysis,Correlation of skin carotenoid content with 3-day dietary intake in community dwelling older adults,R91,Food components identification
,Tanja Bogdanović and Jelka Pleadin and Sandra Petričević and Eddy Listeš and Darja Sokolić and Ksenija Marković and Fatih Ozogul and Vida Šimat,https://www.sciencedirect.com/science/article/pii/S0889157518309165,10.1016/j.jfca.2018.09.017,0889-1575,2019,Journal of Food Composition and Analysis,The occurrence of polycyclic aromatic hydrocarbons in fish and meat products of Croatia and dietary exposure,R91,Food components identification
,J.M. Obón and M.C. Díaz-García and M.R. Castellar,https://www.sciencedirect.com/science/article/pii/S088915751100086X,10.1016/j.jfca.2011.03.012,0889-1575,2011,Journal of Food Composition and Analysis,Red fruit juice quality and authenticity control by HPLC,R91,Food components identification
,Klaudia Pszczolińska and Nasir Shakeel and Hanna Barchanska,https://www.sciencedirect.com/science/article/pii/S088915752200401X,10.1016/j.jfca.2022.104783,0889-1575,2022,Journal of Food Composition and Analysis,A simple approach for pesticide residues determination in green vegetables based on QuEChERS and gas chromatography tandem mass spectrometry,R91,Food components identification
,Ljilja Torović and Gorica Vuković and Nina Dimitrov,https://www.sciencedirect.com/science/article/pii/S0889157521000892,10.1016/j.jfca.2021.103889,0889-1575,2021,Journal of Food Composition and Analysis,Pesticide residues in fruit juice in Serbia: Occurrence and health risk estimates,R91,Food components identification
,Anna Lesniewicz and Agnieszka Wroz and Agnieszka Wojcik and Wieslaw Zyrnicki,https://www.sciencedirect.com/science/article/pii/S0889157510001171,10.1016/j.jfca.2010.02.005,0889-1575,2010,Journal of Food Composition and Analysis,Mineral and nutritional analysis of Polish infant formulas,R91,Food components identification
,Esther Lima {de Paiva} and Raquel Fernanda Milani and Marcelo Antonio Morgano and Adriana Pavesi Arisseto-Bragotto,https://www.sciencedirect.com/science/article/pii/S088915751831202X,10.1016/j.jfca.2019.06.002,0889-1575,2019,Journal of Food Composition and Analysis,Aluminum in infant formulas commercialized in Brazil: Occurrence and exposure assessment,R91,Food components identification
,Ali Rıza Köşker and Sedat Gündoğdu and Deniz Ayas and Mısra Bakan,https://www.sciencedirect.com/science/article/pii/S0889157521005263,10.1016/j.jfca.2021.104326,0889-1575,2022,Journal of Food Composition and Analysis,Metal levels of processed ready-to-eat stuffed mussels sold in Turkey: Health risk estimation,R91,Food components identification
,Arkadiusz Szterk,https://www.sciencedirect.com/science/article/pii/S0889157515000253,10.1016/j.jfca.2014.12.011,0889-1575,2015,Journal of Food Composition and Analysis,"Heterocyclic aromatic amines in grilled beef: The influence of free amino acids, nitrogenous bases, nucleosides, protein and glucose on HAAs content",R91,Food components identification
,Juan Li and Yuxia Xu and Wenbin Du and Linxi Jin and Peifang Ren and Fang Ren and Jian Chun Xie,https://www.sciencedirect.com/science/article/pii/S0889157521005780,10.1016/j.jfca.2021.104378,0889-1575,2022,Journal of Food Composition and Analysis,"Comparative analysis of aroma compounds in Chinese traditional dry-rendered fat by HS/GC-IMS, SPME/GC-MS, and SPME/GC-O",R91,Food components identification
,U.R Charrondiere and S Chevassus-Agnes and S Marroni and B Burlingame,https://www.sciencedirect.com/science/article/pii/S088915750400047X,10.1016/j.jfca.2004.03.011,0889-1575,2004,Journal of Food Composition and Analysis,Impact of different macronutrient definitions and energy conversion factors on energy supply estimations,R91,Food components identification
,Nagako Tokoro and Mitsuyo Sawada and Yukiko Suganuma and Misako Mochizuki and Kaoru Masuzawa and Yoritaka Aoyama and Kiyoshi Ashida,https://www.sciencedirect.com/science/article/pii/088915758790007X,10.1016/0889-1575(87)90007-X,0889-1575,1987,Journal of Food Composition and Analysis,Nitrogen composition of vegetables common to Japan,R91,Food components identification
,Olafur Reykdal and Sasan Rabieh and Laufey Steingrimsdottir and Helga Gunnlaugsdottir,https://www.sciencedirect.com/science/article/pii/S0889157511000743,10.1016/j.jfca.2011.03.002,0889-1575,2011,Journal of Food Composition and Analysis,Minerals and trace elements in Icelandic dairy products and meat,R91,Food components identification
,Martina Furdek Turk and Ekaterina N. Epova and Filip Pošćić and Emna Nasr and Julien Barre and Olivier F.X. Donard and Tea Zuliani,https://www.sciencedirect.com/science/article/pii/S0889157522002939,10.1016/j.jfca.2022.104675,0889-1575,2022,Journal of Food Composition and Analysis,Determination of 87Sr/86Sr isotopic ratio in olive oil and pomace using multicollector-ICPMS: Analysis of pomace residues as a simpler approach for determination of 87Sr/86Sr ratio in olive oil with low Sr content,R91,Food components identification
,Amber Needham and Rajesh Jha and Noa Kekuewa Lincoln,https://www.sciencedirect.com/science/article/pii/S0889157519309664,10.1016/j.jfca.2020.103451,0889-1575,2020,Journal of Food Composition and Analysis,The response of breadfruit nutrition to local climate and soil: A review,R91,Food components identification
,Aleksei Valerievich Panov and Nizametdin Nizametdinovich Isamov and Pavel Nikolaevich Tsygvintsev and Irina Viktorovna Geshel and Elena Valentinovna Sidorova,https://www.sciencedirect.com/science/article/pii/S0889157522003507,10.1016/j.jfca.2022.104732,0889-1575,2022,Journal of Food Composition and Analysis,Radiation monitoring of foodstuffs and drinking water in the vicinity of the Rooppur Nuclear Power Plant (People’s Republic of Bangladesh),R91,Food components identification
,Rocío Velázquez and Maria G. Córdoba and Alejandro Hernández and Rocío Casquete and Emilio Aranda and Teresa Bartolome and Alberto Martín,https://www.sciencedirect.com/science/article/pii/S0889157522001843,10.1016/j.jfca.2022.104566,0889-1575,2022,Journal of Food Composition and Analysis,"Effects of use of modified traditional driers in making smoked paprika “Pimentón de La Vera”, on pepper quality and mitigation of PAH contamination",R91,Food components identification
,Carina Alexandra Rodrigues and Ana Paula Lourenção Zomer and Eliza Mariane Rotta and Jesuí Vergílio Visentainer and Liane Maldaner,https://www.sciencedirect.com/science/article/pii/S0889157522002654,10.1016/j.jfca.2022.104647,0889-1575,2022,Journal of Food Composition and Analysis,A μ-QuEChERS method combined with UHPLC-MS/MS for the analysis of phenolic compounds in red pepper varieties,R91,Food components identification
,Inês Coelho and Ana Sofia Matos and Rita Teixeira and Ana Nascimento and João Bordado and Olivier Donard and Isabel Castanheira,https://www.sciencedirect.com/science/article/pii/S0889157518312717,10.1016/j.jfca.2018.12.005,0889-1575,2019,Journal of Food Composition and Analysis,Combining multielement analysis and chemometrics to trace the geographical origin of Rocha pear,R91,Food components identification
,Clara Mariana Gonçalves Lima and Paula Benoso and Milena Dutra Pierezan and Renata Ferreira Santana and Guilherme de Souza Hassemer and Roney Alves {da Rocha} and Flavia Michelon {Dalla Nora} and Silvani Verruck and Daniela Caetano and Jesus Simal-Gandara,https://www.sciencedirect.com/science/article/pii/S088915752100538X,10.1016/j.jfca.2021.104338,0889-1575,2022,Journal of Food Composition and Analysis,A state-of-the-art review of the chemical composition of sugarcane spirits and current advances in quality control,R91,Food components identification
,Muhammad Shehu Danhassan and Aliyu Salihu and Hajiya Mairo Inuwa,https://www.sciencedirect.com/science/article/pii/S0889157517303022,10.1016/j.jfca.2017.12.024,0889-1575,2018,Journal of Food Composition and Analysis,"Effect of boiling on protein, mineral, dietary fibre and antinutrient compositions of Nymphaea lotus (Linn) seeds",R91,Food components identification
,Xiaodan Wang and Huiquan Zhu and Wenyuan Zhang and Yumeng Zhang and Pu Zhao and Shuwen Zhang and Xiaoyang Pang and Jacques Vervoort and Jing Lu and Jiaping Lv,https://www.sciencedirect.com/science/article/pii/S0889157521005275,10.1016/j.jfca.2021.104327,0889-1575,2022,Journal of Food Composition and Analysis,"Triglyceride and fatty acid composition of ruminants milk, human milk, and infant formulae",R91,Food components identification
,Nazanin Roohani and Richard Hurrell and Rita Wegmueller and Rainer Schulin,https://www.sciencedirect.com/science/article/pii/S0889157512001160,10.1016/j.jfca.2012.07.005,0889-1575,2012,Journal of Food Composition and Analysis,Zinc and phytic acid in major foods consumed by a rural and a suburban population in central Iran,R91,Food components identification
,Aiane Benevide Sereno and Marlene Bampi and Isabela Eloise {dos Santos} and Sila Mary Rodrigues Ferreira and Renata Labronici Bertin and Claudia Carneiro Hecke Krüger,https://www.sciencedirect.com/science/article/pii/S0889157518302941,10.1016/j.jfca.2018.06.001,0889-1575,2018,Journal of Food Composition and Analysis,"Mineral profile, carotenoids and composition of cocona (Solanum sessiliflorum Dunal), a wild Brazilian fruit",R91,Food components identification
,Michela Palla and Maria Digiacomo and Caterina Cristani and Simone Bertini and Manuela Giovannetti and Marco Macchia and Clementina Manera and Monica Agnolucci,https://www.sciencedirect.com/science/article/pii/S0889157518308007,10.1016/j.jfca.2018.08.008,0889-1575,2018,Journal of Food Composition and Analysis,Composition of health-promoting phenolic compounds in two extra virgin olive oils and diversity of associated yeasts,R91,Food components identification
,A.M.M. Costa and L.O. Silva and A.G. Torres,https://www.sciencedirect.com/science/article/pii/S0889157518308524,10.1016/j.jfca.2018.09.004,0889-1575,2019,Journal of Food Composition and Analysis,"Chemical composition of commercial cold-pressed pomegranate (Punica granatum) seed oil from Turkey and Israel, and the use of bioactive compounds for samples’ origin preliminary discrimination",R91,Food components identification
,Vito Gallo and Piero Mastrorilli and Isabella Cafagna and Giovanna Ivana Nitti and Mario Latronico and Francesco Longobardi and Anna Paola Minoja and Claudia Napoli and Vito Antonio Romito and Hartmut Schäfer and Birk Schütz and Manfred Spraul,https://www.sciencedirect.com/science/article/pii/S0889157514000817,10.1016/j.jfca.2014.04.004,0889-1575,2014,Journal of Food Composition and Analysis,Effects of agronomical practices on chemical composition of table grapes evaluated by NMR spectroscopy,R91,Food components identification
,M. Sika and A. Terrab and P.B. Swan and P.V.J. Hegarty,https://www.sciencedirect.com/science/article/pii/S0889157585710083,10.1006/jfca.1995.1008,0889-1575,1995,Journal of Food Composition and Analysis,Composition of Selected Moroccan Cereals and Legumes: Comparison with the FAO Table for Use in Africa,R91,Food components identification
,Jianhui Feng and Lina Zhang and Xue Tang and Xubin Xia and Wei Hu and Peng Zhou,https://www.sciencedirect.com/science/article/pii/S0889157521000387,10.1016/j.jfca.2021.103838,0889-1575,2021,Journal of Food Composition and Analysis,Season and geography induced variation in sea cucumber (Stichopus japonicus) nutritional composition and gut microbiota,R91,Food components identification
,Sandy Burden and Yasmine C. Probst and David G. Steel and Linda C. Tapsell,https://www.sciencedirect.com/science/article/pii/S0889157508001798,10.1016/j.jfca.2008.10.004,0889-1575,2009,Journal of Food Composition and Analysis,"Identification of food groups for use in a self-administered, computer-assisted diet history interview for use in Australia",R91,Food components identification
,SuJin Song and Hyun Ju Jung and Jae Eun Shim and Hee Young Paik,https://www.sciencedirect.com/science/article/pii/S0889157514001069,10.1016/j.jfca.2014.04.010,0889-1575,2014,Journal of Food Composition and Analysis,Assessment of food group intake in Korean population with a newly developed food group database,R91,Food components identification
,Meseret Amde and Ayalew Temsgen and Nigussie Dechassa,https://www.sciencedirect.com/science/article/pii/S0889157520303501,10.1016/j.jfca.2020.103528,0889-1575,2020,Journal of Food Composition and Analysis,Ionic liquid functionalized zinc oxide nanorods for solid-phase microextraction of aflatoxins in food products,R91,Food components identification
,Bethany L. Six and TusaRebecca E. Schap and Deborah A. Kerr and Carol J. Boushey,https://www.sciencedirect.com/science/article/pii/S0889157511001591,10.1016/j.jfca.2011.06.006,0889-1575,2011,Journal of Food Composition and Analysis,Evaluation of the Food And Nutrient Database for Dietary Studies for use with a mobile telephone food record,R91,Food components identification
,D. Trainer and P.R. Pehrsson and D.B. Haytowitz and J.M. Holden and K.M. Phillips and A.S. Rasor and N.A. Conley,https://www.sciencedirect.com/science/article/pii/S0889157510001663,10.1016/j.jfca.2010.03.020,0889-1575,2010,Journal of Food Composition and Analysis,Development of sample handling procedures for foods under USDA's National Food and Nutrient Analysis Program,R91,Food components identification
,Manju Gupta and Anjali Dsouza,https://www.sciencedirect.com/science/article/pii/S0889157519308580,10.1016/j.jfca.2019.103396,0889-1575,2020,Journal of Food Composition and Analysis,Salting-out homogeneous liquid-liquid microextraction for the spectrophotometric determination of iodate in food grade salt,R91,Food components identification
,Mulia Nurhasan and Hanne K. Maehre and Marian Kjellevold Malde and Svein K. Stormo and Matthias Halwart and David James and Edel O. Elvevoll,https://www.sciencedirect.com/science/article/pii/S0889157510000049,10.1016/j.jfca.2009.12.001,0889-1575,2010,Journal of Food Composition and Analysis,Nutritional composition of aquatic species in Laotian rice field ecosystems,R91,Food components identification
,Robin J. Marles,https://www.sciencedirect.com/science/article/pii/S0889157516302113,10.1016/j.jfca.2016.11.012,0889-1575,2017,Journal of Food Composition and Analysis,"Mineral nutrient composition of vegetables, fruits and grains: The context of reports of apparent historical declines",R91,Food components identification
,Amanda Gomes Almeida Sá and Maria Teresa Bertoldo Pacheco and Yara Maria Franco Moreno and Bruno Augusto Mattar Carciofi,https://www.sciencedirect.com/science/article/pii/S0889157522002526,10.1016/j.jfca.2022.104634,0889-1575,2022,Journal of Food Composition and Analysis,"Cold-pressed sesame seed meal as a protein source: Effect of processing on the protein digestibility, amino acid profile, and functional properties",R91,Food components identification
resource:KNSR2532,Futian Wang and Jie He and Shaotong Jiang and Lin Lin and Jianfeng Lu,https://www.sciencedirect.com/science/article/pii/S088915752100363X,10.1016/j.jfca.2021.104163,0889-1575,2021,Journal of Food Composition and Analysis,Comparison of nutritional quality and nutrient compositions of three edible tissues from different sourced cultured female mud crabs (Scylla paramamosain),R91,Food components identification
,Mahnaz Zafari and Ali Ebadi and Mohammad Sedghi and Sodabe Jahanbakhsh,https://www.sciencedirect.com/science/article/pii/S0889157519317569,10.1016/j.jfca.2020.103544,0889-1575,2020,Journal of Food Composition and Analysis,Alleviating effect of 24- epibrassinolide on seed oil content and fatty acid composition under drought stress in safflower,R91,Food components identification
,Arjnarong Mathaweesansurn and Ekarat Detsri,https://www.sciencedirect.com/science/article/pii/S0889157522004203,10.1016/j.jfca.2022.104802,0889-1575,2022,Journal of Food Composition and Analysis,A new colorimetric method for determination of formaldehyde in sea food based on anti-aggregation of gold nanoparticles,R91,Food components identification
,Kazeem Koledoye Olatoye and Gibson Lucky Arueya,https://www.sciencedirect.com/science/article/pii/S0889157518313024,10.1016/j.jfca.2018.12.007,0889-1575,2019,Journal of Food Composition and Analysis,Nutrient and phytochemical composition of flour made from selected cultivars of Aerial yam (Dioscorea bulbifera) in Nigeria,R91,Food components identification
,Karen M. Cashel and Heather Greenfield,https://www.sciencedirect.com/science/article/pii/S0889157597905421,10.1006/jfca.1997.0542,0889-1575,1997,Journal of Food Composition and Analysis,Population Nutrition Goals and Targets for Australia: Influences of New Australian Food Composition Data,R91,Food components identification
,Rafael Monge-Rojas and Hannia Campos,https://www.sciencedirect.com/science/article/pii/S0889157510002917,10.1016/j.jfca.2010.09.015,0889-1575,2011,Journal of Food Composition and Analysis,Tocopherol and carotenoid content of foods commonly consumed in Costa Rica,R91,Food components identification
,Syprose Nyachoti and Segun Adebayo and Tewodros Rango Godebo,https://www.sciencedirect.com/science/article/pii/S088915752031365X,10.1016/j.jfca.2020.103660,0889-1575,2021,Journal of Food Composition and Analysis,"Elemental composition of teff (a gluten-free grain), maize and wheat: Staple crops in the Main Ethiopian Rift Valley",R91,Food components identification
,Jieun Kim and Mireille Boutin,https://www.sciencedirect.com/science/article/pii/S0889157515000964,10.1016/j.jfca.2015.03.001,0889-1575,2015,Journal of Food Composition and Analysis,New multipliers for estimating the phenylalanine content of foods from the protein content,R91,Food components identification
,D. Saunders and S. Jones and G.J. Devane and P. Scholes and R.J. Lake and S.M. Paulin,https://www.sciencedirect.com/science/article/pii/S0889157508000124,10.1016/j.jfca.2007.12.004,0889-1575,2008,Journal of Food Composition and Analysis,Trans fatty acids in the New Zealand food supply,R91,Food components identification
,William C. Byrdwell and Nicola Kubzdela and Robert Goldschmidt,https://www.sciencedirect.com/science/article/pii/S0889157520313363,10.1016/j.jfca.2020.103631,0889-1575,2021,Journal of Food Composition and Analysis,"Changes in compositions of galactolipids, triacylglycerols, and tocopherols of lettuce varieties (Lactuca sativa L.) with type, age, and light source",R91,Food components identification
,Nail Altunay and Adil Elik and Konstantin Katin,https://www.sciencedirect.com/science/article/pii/S0889157521000715,10.1016/j.jfca.2021.103871,0889-1575,2021,Journal of Food Composition and Analysis,"Optimization of vortex-assisted ionic liquid dispersive liquid–liquid microextraction by experimental design prior to hydride generation atomic absorption spectrometry for determination of selenium species in food, beverage and water samples",R91,Food components identification
,Lilia {Masson Salaue},https://www.sciencedirect.com/science/article/pii/S0889157519311883,10.1016/j.jfca.2019.103291,0889-1575,2019,Journal of Food Composition and Analysis,12th IFDC 2017 Special issue – Foods from Latin America and their nutritional contribution: A global perspective,R91,Food components identification
,Robert Witkowicz and Wioletta Biel,https://www.sciencedirect.com/science/article/pii/S0889157522004185,10.1016/j.jfca.2022.104800,0889-1575,2022,Journal of Food Composition and Analysis,A novel method for analyzing mineral ratio profiles of treated buckwheat sprouts (Fagopyrum esculentum Moench),R91,Food components identification
,Jingyi Zhu and Xia Fan and Lu Han and Chong Zhang and Jiahong Wang and Leiqing Pan and Kang Tu and Jing Peng and Mingzhi Zhang,https://www.sciencedirect.com/science/article/pii/S0889157521003306,10.1016/j.jfca.2021.104130,0889-1575,2021,Journal of Food Composition and Analysis,Quantitative analysis of caprolactam in sauce-based food using infrared spectroscopy combined with data fusion strategies,R91,Food components identification
,Hassan Mohamed {Al Marzooqi} and Sarah J. Burke and Mustafa Rasheed {Al Ghazali} and Edel Duffy and Mariam Harib Sultan Al Yousuf,https://www.sciencedirect.com/science/article/pii/S0889157515001416,10.1016/j.jfca.2015.05.008,0889-1575,2015,Journal of Food Composition and Analysis,The development of a food atlas of portion sizes for the United Arab Emirates,R91,Food components identification
,C. Perrin and C. Battisti and A. Chambefort and O. Digaud and B. Duplessis and J.L. Volatier and J. Gauvreau-Beziat and C. Menard,https://www.sciencedirect.com/science/article/pii/S088915751730217X,10.1016/j.jfca.2017.08.009,0889-1575,2017,Journal of Food Composition and Analysis,Range of processed foods available in France and nutrition labelling according to the type of brand,R91,Food components identification
,Andrey Vladimirovich Blinov and Shahida Anusha Siddiqui and Anastasiya Alexandrovna Blinova and Andrey Georgievich Khramtsov and Natalya Pavlovna Oboturova and Аndrey Аshotovich Nagdalian and Alexander Nikolaevich Simonov and Salam A. Ibrahim,https://www.sciencedirect.com/science/article/pii/S0889157522000321,10.1016/j.jfca.2022.104414,0889-1575,2022,Journal of Food Composition and Analysis,Analysis of the dispersed composition of milk using photon correlation spectroscopy,R91,Food components identification
,Venkatachalam Vinothkumar and Rajalakshmi Sakthivel and Shen-Ming Chen and Tae Hyun Kim and Manickavasagan Abinaya and Subbiramaniyan Kubendhiran and Gopalakrishnan Gopu,https://www.sciencedirect.com/science/article/pii/S0889157522002460,10.1016/j.jfca.2022.104628,0889-1575,2022,Journal of Food Composition and Analysis,Nanoarchitectured nickel phosphate integrated with graphene oxide for the toxicant diphenylamine detection in food samples,R91,Food components identification
,Krishna {Rodrigues de Rosa} and Alessandra {Almeida da Silva} and Wander Miguel {de Barros} and Anaqueli Lucia Pedroso and Maria Fernanda Evelin Ferreira and Luciana Kimie Savay-da-Silva and Lucia Aparecida {de Fátima Mateus} and Mariane {Bittencourt Fagundes} and Roger Wagner and Ernesto Hashime Kubota,https://www.sciencedirect.com/science/article/pii/S0889157521003720,10.1016/j.jfca.2021.104172,0889-1575,2021,Journal of Food Composition and Analysis,Characterization of the influence of pirarucu age and weight on their physicochemical composition,R91,Food components identification
,A. {Stewart Truswell} and Deborah J. Bateson and Kathryn C. Madafiglio and Jean A.T. Pennington and William M. Rand and John C. Klensin,https://www.sciencedirect.com/science/article/pii/0889157591900458,10.1016/0889-1575(91)90045-8,0889-1575,1991,Journal of Food Composition and Analysis,INFOODS Guidelines for Describing Foods: A systematic approach to describing foods to facilitate international exchange of food composition data,R91,Food components identification
,Sooriya Arachchige Sachini Jayawardana and Jayanetti Koralalage Ramani Radhika Samarasekera and Gardhi Hettiarachchige Chamari Madhu Hettiarachchi and Jaanaki Gooneratne and Saikat Datta Mazumdar and Roopa Banerjee,https://www.sciencedirect.com/science/article/pii/S0889157519300924,10.1016/j.jfca.2019.103249,0889-1575,2019,Journal of Food Composition and Analysis,"Dietary fibers, starch fractions and nutritional composition of finger millet varieties cultivated in Sri Lanka",R91,Food components identification
,Cynthia T. Srigley and Ermias A. Haile,https://www.sciencedirect.com/science/article/pii/S0889157515000575,10.1016/j.jfca.2015.01.008,0889-1575,2015,Journal of Food Composition and Analysis,Quantification of plant sterols/stanols in foods and dietary supplements containing added phytosterols,R91,Food components identification
,Yingdi Wang and Wenwei Han and Lili Song and Xia Zhao,https://www.sciencedirect.com/science/article/pii/S0889157519304570,10.1016/j.jfca.2019.103298,0889-1575,2019,Journal of Food Composition and Analysis,Compositional analysis and structural characterization of raffinose family oligosaccharides from Eupatorium,R91,Food components identification
,Katherine M. Phillips and Amy S. Rasor,https://www.sciencedirect.com/science/article/pii/S0889157516000041,10.1016/j.jfca.2016.01.001,0889-1575,2016,Journal of Food Composition and Analysis,A mixed mushroom control material to facilitate inter-laboratory harmonization of mushroom composition analyses,R91,Food components identification
,Shihui Wang and Liang Luo and Rui Zhang and Kun Guo and Xubin Zhang and Lingjie Kong and Zhigang Zhao,https://www.sciencedirect.com/science/article/pii/S0889157522001922,10.1016/j.jfca.2022.104574,0889-1575,2022,Journal of Food Composition and Analysis,Biochemical composition and quality of wild-caught adult mitten crabs from three river basins,R91,Food components identification
,Rodrigo Muñoz-Arrieta and Daniel Esquivel-Alvarado and Emilia Alfaro-Viquez and Victor Alvarez-Valverde and Christian G. Krueger and Jess D. Reed,https://www.sciencedirect.com/science/article/pii/S0889157521000168,10.1016/j.jfca.2021.103816,0889-1575,2021,Journal of Food Composition and Analysis,"Nutritional and bioactive composition of Spanish, Valencia, and Virginia type peanut skins",R91,Food components identification
,Wenxue Hao and Yu Ge and Mingren Qu and Yangping Wen and Huan Liang and Minghui Li and Chuanbin Chen and Lanjiao Xu,https://www.sciencedirect.com/science/article/pii/S0889157521004920,10.1016/j.jfca.2021.104292,0889-1575,2022,Journal of Food Composition and Analysis,A simple rapid portable immunoassay of trace zearalenone in feed ingredients and agricultural food,R91,Food components identification
,Maharishi Tomar and Rakesh Bhardwaj and Manoj Kumar and Sumer {Pal Singh} and Veda Krishnan and Rekha Kansal and Reetu Verma and Vijay Kumar Yadav and Anil dahuja and Sudhir Pal Ahlawat and Jai Chand Rana and Haritha Bollinedi and Ranjeet {Ranjan Kumar} and Suneha Goswami and Vinutha T and C. Tara Satyavathi and Shelly Praveen and Archana Sachdev,https://www.sciencedirect.com/science/article/pii/S0889157521002866,10.1016/j.jfca.2021.104086,0889-1575,2021,Journal of Food Composition and Analysis,Nutritional composition patterns and application of multivariate analysis to evaluate indigenous Pearl millet ((Pennisetum glaucum (L.) R. Br.) germplasm,R91,Food components identification
,Adriela A. Rydlewski and Luciana P. Manin and Jéssica S. Pizzo and Patrícia D. Silva and Roberta {da Silveira} and Christyna B.G. Tavares and Meliana {de Paula} and Omar Pereira and Oscar O. Santos and Jesuí V. Visentainer,https://www.sciencedirect.com/science/article/pii/S0889157520315027,10.1016/j.jfca.2020.103797,0889-1575,2021,Journal of Food Composition and Analysis,Lipid profile by direct infusion ESI-MS and fatty acid composition by GC-FID in human milk: Association with nutritional status of donors,R91,Food components identification
,Henley F. Galiga and Fortunato B. Sevilla,https://www.sciencedirect.com/science/article/pii/S0889157522001764,10.1016/j.jfca.2022.104558,0889-1575,2022,Journal of Food Composition and Analysis,Microscale assessment of iodate fortificant in food-grade salt using the potassium iodide/polyvinyl alcohol colorimetric reagent,R91,Food components identification
,Nail Altunay and Konstantin P. Katin and Nevcihan Gürsoy and Adil Elik and Selçuk Şimşek and Savaş Kaya,https://www.sciencedirect.com/science/article/pii/S088915752031351X,10.1016/j.jfca.2020.103646,0889-1575,2020,Journal of Food Composition and Analysis,Spectrophotometric determination of aflatoxin B1 in food sample: Chemometric optimization and theoretical supports for reaction mechanisms and binding regions,R91,Food components identification
